     MC cycles:          Temp:           <E>:         <|M|>:            Cv:       Chi (X):
      1000000.0      2.1800000     -1.5734305     0.80841841      1.2919348      3.1116150
      1000000.0      2.1900000     -1.5603527     0.79730532      1.3580570      3.9296847
      1000000.0      2.2000000     -1.5463055     0.78432007      1.4163403      4.9599972
      1000000.0      2.2100000     -1.5320675     0.77057692      1.4903418      6.3590858
      1000000.0      2.2200000     -1.5164912     0.75316216      1.5817406      8.7941268
      1000000.0      2.2300000     -1.5003263     0.73331101      1.6872170      12.538078
      1000000.0      2.2400000     -1.4827915     0.70842115      1.8509079      22.396897
      1000000.0      2.2500000     -1.4632471     0.67209948      2.0231414      41.436737
      1000000.0      2.2600000     -1.4429374     0.63581533      2.2132467      57.760141
      1000000.0      2.2700000     -1.4162049     0.53370996      2.5969482      193.67528
      1000000.0      2.2800000     -1.3926179     0.44597835      2.6182513      255.17164
      1000000.0      2.2900000     -1.3651969     0.32022450      2.2682144      258.53330
      1000000.0      2.3000000     -1.3460280     0.26572667      2.0955764      218.57404
      1000000.0      2.3100000     -1.3255113     0.19134376      1.7401992      141.78589
      1000000.0      2.3200000     -1.3097499     0.16942129      1.6861216      122.58193
