     MC cycles:          Temp:           <E>:         <|M|>:            Cv:       Chi (X):
      1000000.0      2.1800000     -1.5736202     0.80820856      1.2903864      3.3100313
      1000000.0      2.1900000     -1.5595315     0.79565165      1.3690353      4.2197674
      1000000.0      2.2000000     -1.5461368     0.78390508      1.4240128      4.8217481
      1000000.0      2.2100000     -1.5323910     0.77245378      1.4522382      5.0694405
      1000000.0      2.2200000     -1.5175460     0.75594435      1.5459103      6.9888392
      1000000.0      2.2300000     -1.5012945     0.73689268      1.6464222      9.3153981
      1000000.0      2.2400000     -1.4839109     0.71507303      1.7215466      11.351295
      1000000.0      2.2500000     -1.4651022     0.68880868      1.8268156      14.829319
      1000000.0      2.2600000     -1.4459888     0.65979849      1.9269948      18.231156
      1000000.0      2.2700000     -1.4279926     0.63289914      1.9548248      21.100605
      1000000.0      2.2800000     -1.4062640     0.59585857      2.0143663      24.508962
      1000000.0      2.2900000     -1.3902796     0.57275440      2.0038456      25.861839
      1000000.0      2.3000000     -1.3673162     0.52528395      2.0167063      30.255281
      1000000.0      2.3100000     -1.3498932     0.49853285      1.9487630      29.560164
      1000000.0      2.3200000     -1.3275631     0.45130125      1.8645920      30.851608
