     MC cycles:          Temp:           <E>:         <|M|>:            Cv:       Chi (X):
      1000000.0      2.1800000     -1.5733798     0.80833311      1.2950462      3.0802880
      1000000.0      2.1900000     -1.5607211     0.79835308      1.3373540      3.4967888
      1000000.0      2.2000000     -1.5467065     0.78532602      1.4102998      4.8236322
      1000000.0      2.2100000     -1.5319926     0.77079202      1.4806843      5.7806120
      1000000.0      2.2200000     -1.5162171     0.75032197      1.6235358      16.726093
      1000000.0      2.2300000     -1.5008605     0.73609157      1.6569262      10.584496
      1000000.0      2.2400000     -1.4833499     0.71028582      1.8167193      20.033868
      1000000.0      2.2500000     -1.4638227     0.67679829      1.9775727      29.870783
      1000000.0      2.2600000     -1.4422305     0.62657800      2.2476849      68.091163
      1000000.0      2.2700000     -1.4205093     0.57654484      2.3657212      88.158302
      1000000.0      2.2800000     -1.3931188     0.46924191      2.5370773      158.65029
      1000000.0      2.2900000     -1.3683747     0.38898625      2.3458287      158.03969
      1000000.0      2.3000000     -1.3475831     0.32620460      2.0494251      136.32392
      1000000.0      2.3100000     -1.3271374     0.25954884      1.8399614      115.62555
      1000000.0      2.3200000     -1.3108763     0.22885417      1.7199340      99.728177
